table_id,table_ref,description,unit,year,geo,employment_status_icse,total_TL,males_TL,females_TL
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Turkey,Casual employee,5420,6168,2652
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (males),Casual employee,,2298,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (males),Casual employee,,6882,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (females),Casual employee,,,4897
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (females),Casual employee,,,2869
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Turkey,Employer,33465,33917,27123
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (males),Employer,,15524,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (males),Employer,,36015,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (females),Employer,,,25470
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (females),Employer,,,30912
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Turkey,Self employed,10980,11970,5628
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (males),Self employed,,5303,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (males),Self employed,,13588,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (females),Self employed,,,10946
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (females),Self employed,,,5960
